,0,1,2
10-03-2020,1.855365324,0.14090532,2.824591721
11-03-2020,1.576219409,0.140455278,2.641410169
12-03-2020,1.413926446,0.140446928,3.410540954
13-03-2020,1.983304012,0.140643075,3.839506494
14-03-2020,2.25569885,0.139547202,4.514601436
15-03-2020,1.605387862,0.141194181,2.400948811
16-03-2020,2.174972587,0.141743436,3.513390202
17-03-2020,1.665785843,0.140345604,3.23487155
18-03-2020,1.887869607,0.140235676,3.779352115
19-03-2020,1.803927511,0.141509601,2.883196596
20-03-2020,1.606596013,0.139847645,3.053322774
21-03-2020,1.68470497,0.139298058,2.871540387
22-03-2020,2.435831623,0.14122794,3.370437884
23-03-2020,2.867625985,0.140624954,5.589335176
24-03-2020,2.398710881,0.140201366,3.601962051
25-03-2020,1.938001537,0.141860188,3.461154311
26-03-2020,1.800598452,0.1405747,4.083238306
27-03-2020,2.368556101,0.141935589,3.938406164
28-03-2020,1.906971115,0.141908748,3.614999125
29-03-2020,2.113505648,0.140825372,3.174143924
30-03-2020,2.513896566,0.140818241,3.621689891
31-03-2020,2.109628788,0.142035829,3.217498019
01-04-2020,2.744844054,0.14146977,4.453248218
02-04-2020,2.129955154,0.141348656,3.608099405
03-04-2020,1.960317077,0.142365319,2.676213578
04-04-2020,1.880964366,0.140674252,3.405029662
05-04-2020,2.294228645,0.141432005,4.107981063
06-04-2020,2.121172023,0.142278817,3.380685959
07-04-2020,2.854124686,0.141064935,4.380961142
08-04-2020,3.23297119,0.141067043,4.586471705
09-04-2020,2.042964715,0.141246735,3.539904831
10-04-2020,2.222710405,0.141240028,3.540072932
11-04-2020,1.80655299,0.14064678,3.021754219
12-04-2020,2.039368987,0.142742019,3.474800215
13-04-2020,1.764982424,0.141278204,3.008248892
14-04-2020,2.046934509,0.140183019,3.78077175
15-04-2020,1.899328135,0.141180123,3.980730355
16-04-2020,2.190625084,0.141478127,3.760298577
17-04-2020,1.977873309,0.14136317,3.664320782
18-04-2020,2.112729766,0.14109645,3.203482441
19-04-2020,2.396070039,0.142071643,3.265957865
20-04-2020,2.331288718,0.142027276,3.506368722
21-04-2020,2.429557311,0.141826229,3.835679791
22-04-2020,1.933207969,0.141067256,2.821349273
